Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Charging_Stations
2023,May,Europe,Model S,17646,17922,92874,120,704,1863.42,12207
2015,February,Asia,Model X,3797,4164,62206,75,438,249.46,7640
2019,January,North America,Model X,8411,9189,117887,82,480,605.59,14071
2021,February,North America,Model 3,6555,7311,89295,120,712,700.07,9333
2016,December,Middle East,Model Y,12374,13537,114847,120,661,1226.88,8722
2020,April,Asia,Model X,4656,5043,86931,82,477,333.14,5798
2015,November,Asia,Model 3,7717,7976,87588,82,475,549.84,9961
2020,June,Europe,Cybertruck,8410,9192,73816,100,592,746.81,8216
2022,April,Europe,Model S,15145,15760,69994,100,563,1279,13264
2021,March,Middle East,Model Y,7790,8208,50592,82,485,566.72,3383
2020,November,Asia,Model 3,8319,9154,117947,120,670,836.06,10165
2025,May,Asia,Cybertruck,5937,6483,78837,82,477,424.79,14940
2020,October,Middle East,Model S,8724,9355,99201,82,453,592.8,5325
2020,November,Asia,Model S,10737,11658,78316,75,426,686.09,5601
2020,April,North America,Cybertruck,4408,5007,91116,120,665,439.7,8397
2025,March,North America,Cybertruck,17079,18904,111739,120,682,1747.18,3904
2023,November,Europe,Model S,12540,13453,56018,100,592,1113.55,11616
2020,July,Europe,Model S,16546,17888,97411,100,585,1451.91,14471
2017,January,Europe,Model S,6472,6810,57770,100,590,572.77,14372
2021,January,Asia,Model 3,7808,8183,102109,60,359,420.46,8256
2019,May,Middle East,Model 3,13977,14319,57302,75,417,874.26,13525
2016,September,Asia,Model S,13993,14982,118537,60,349,732.53,4515
2020,January,Asia,Model Y,11592,12383,90750,100,567,985.9,4971
2025,September,North America,Model S,17854,18489,80632,60,355,950.73,5009
2022,April,North America,Model S,10056,11163,78773,120,681,1027.22,7885
2025,March,Middle East,Cybertruck,5209,5621,65115,100,594,464.12,4024
2016,December,North America,Cybertruck,5224,5657,87919,100,588,460.76,13003
2022,May,Europe,Model 3,12541,13898,56169,120,710,1335.62,11787
2017,June,North America,Model X,6312,6933,117798,75,435,411.86,3923
2023,November,North America,Model S,12717,12755,96953,60,344,656.2,7161
2016,October,Asia,Model S,16449,17908,99184,82,460,1134.98,9148
2024,January,Middle East,Model X,15387,16070,88151,100,561,1294.82,8327
2020,September,Middle East,Model S,9326,10117,100029,100,596,833.74,13947
2023,May,Middle East,Cybertruck,11531,12204,85791,60,357,617.49,13491
2024,January,North America,Model 3,3819,4249,91285,82,482,276.11,8146
2015,March,Middle East,Model 3,1899,2125,68958,60,343,97.7,3941
2023,March,Europe,Model S,17330,18767,67727,82,490,1273.75,3343
2019,August,Asia,Model Y,15165,16539,94101,60,342,777.96,4731
2017,December,Europe,Model S,13031,13160,51341,60,354,691.95,9296
2023,June,Europe,Model S,13583,14019,55191,100,594,1210.25,13172
2022,July,Europe,Model S,11182,11651,57417,60,333,558.54,6494
2019,April,Asia,Model X,11163,12314,69143,82,481,805.41,3619
2023,January,North America,Model S,9835,9882,92862,82,480,708.12,8000
2017,August,Asia,Model X,7581,8402,95971,100,585,665.23,3100
2025,January,North America,Model X,6076,6746,50549,120,692,630.69,12525
2018,December,North America,Cybertruck,8427,9430,115869,82,476,601.69,11899
2024,May,North America,Cybertruck,14312,14795,83376,60,333,714.88,7740
2021,February,Middle East,Model 3,14163,14499,98168,100,556,1181.19,8104
2025,September,North America,Model 3,11340,11791,81180,60,351,597.05,7510
2025,November,Europe,Cybertruck,9171,10536,97490,100,586,806.13,5555
2024,September,Asia,Model X,8409,8777,103558,100,588,741.67,6509
2016,September,Europe,Model X,14559,15638,107977,60,340,742.51,5085
2024,February,Asia,Cybertruck,17392,19926,55858,75,446,1163.52,4513
2015,March,North America,Cybertruck,5716,6522,116775,60,357,306.09,7441
2015,April,Asia,Model Y,7633,8492,102818,82,455,520.95,13830
2018,July,North America,Model S,7131,8189,97902,82,489,523.06,4710
2025,March,Asia,Model X,11956,13742,58158,120,710,1273.31,8997
2017,April,Asia,Cybertruck,5651,5846,50103,75,439,372.12,14602
2018,August,North America,Model X,1240,1336,112760,82,459,85.37,3270
2025,May,North America,Model X,11008,11674,110367,75,419,691.85,9530
2022,December,Europe,Cybertruck,8171,9073,60650,82,488,598.12,13713
2018,February,Middle East,Cybertruck,15273,15975,52818,100,579,1326.46,7772
2021,May,Asia,Model S,9541,9929,109858,100,567,811.46,14676
2018,May,Asia,Model S,5894,6491,77716,120,705,623.29,8450
2015,July,North America,Cybertruck,4405,4472,60700,60,337,222.67,4928
2021,August,North America,Model S,7933,8430,85598,82,470,559.28,6248
2024,August,Europe,Model 3,11880,13074,62262,75,430,766.26,10781
2020,March,North America,Model X,11918,13671,60898,60,336,600.67,5541
2019,January,North America,Model 3,13075,13668,87273,120,693,1359.15,10206
2015,April,Asia,Model S,13598,15097,106244,100,564,1150.39,5129
2019,April,Middle East,Model X,13892,15134,101771,100,560,1166.93,13099
2017,August,North America,Model S,11311,12214,58078,60,348,590.43,4406
2018,August,Asia,Cybertruck,6880,7303,64678,120,718,740.98,10747
2024,December,Asia,Model S,10239,11592,94709,120,683,1048.99,8109
2022,October,Middle East,Model 3,8455,9204,85264,60,349,442.62,14674
2020,September,Europe,Model 3,6496,6966,112078,75,426,415.09,11996
2017,January,North America,Model S,6113,6850,69513,60,336,308.1,14489
2021,October,Middle East,Model X,11128,11881,78561,60,350,584.22,5998
2016,January,Asia,Cybertruck,8067,8485,75973,75,449,543.31,3481
2016,October,North America,Model S,6258,7036,69706,60,356,334.18,4350
2023,December,Asia,Model S,5649,6211,64984,120,685,580.43,5372
2015,December,Asia,Model Y,5719,6486,66097,82,459,393.75,3373
2016,October,North America,Model X,9922,10370,91885,120,677,1007.58,6599
2021,February,Asia,Cybertruck,7648,8340,61475,60,352,403.81,6614
2022,September,Middle East,Model Y,6952,7464,103793,82,460,479.69,6233
2024,July,Europe,Model 3,1492,1661,88073,75,445,99.59,9522
2020,October,Middle East,Cybertruck,18392,19806,68744,120,687,1895.3,8649
2017,May,Europe,Model X,8451,9514,50799,82,479,607.2,14643
2020,September,North America,Model 3,11467,13072,100397,120,705,1212.64,5628
2019,August,North America,Model S,11480,11915,54710,82,461,793.84,13946
2019,September,Europe,Model S,9082,9942,88006,100,556,757.44,7509
2023,January,Europe,Model Y,14836,16172,97728,75,449,999.2,5788
2024,March,North America,Model X,8283,8391,70066,75,441,547.92,4819
2015,December,North America,Model 3,10586,11907,85523,120,660,1048.01,6444
2020,August,Europe,Cybertruck,10062,10568,103557,82,468,706.35,8810
2021,November,Middle East,Model S,11748,13383,107986,120,679,1196.53,5847
2023,January,Middle East,Model X,6197,6673,66969,82,458,425.73,3778
2023,November,North America,Model X,5365,6034,71689,60,358,288.1,5155
2025,August,Asia,Model S,11848,12443,104498,120,711,1263.59,8227
2022,June,North America,Model Y,10312,11133,106391,82,483,747.1,9976
2016,March,Middle East,Model Y,5249,5829,110396,120,673,529.89,4148
2025,December,Europe,Model 3,16501,18884,108207,100,573,1418.26,11849
2019,March,Middle East,Model Y,13191,14990,50433,120,708,1400.88,14380
2021,March,Europe,Model 3,6907,6946,58614,100,599,620.59,6782
2021,April,Europe,Model 3,11164,11825,84455,120,712,1192.32,7954
2020,February,Europe,Model Y,13825,15834,83895,120,663,1374.9,9620
2020,May,Asia,Model S,5784,6156,70108,100,586,508.41,8440
2019,June,North America,Model 3,12341,12850,94738,120,680,1258.78,14972
2021,October,Europe,Model Y,12459,12777,112819,75,437,816.69,13582
2016,October,Asia,Model Y,12205,12670,75330,75,430,787.22,3547
2020,March,Asia,Model Y,10062,11450,68948,82,466,703.33,9827
2020,February,North America,Model 3,11404,11966,72021,100,575,983.59,14288
2025,June,Asia,Model 3,9808,10413,100126,120,666,979.82,6245
2019,September,Middle East,Model X,8123,8610,116301,100,570,694.52,12262
2016,December,North America,Model S,9646,9877,51635,120,705,1020.06,8502
2025,October,Asia,Model X,5013,5164,54937,75,441,331.61,5996
2021,August,Asia,Model 3,10980,11716,105291,75,435,716.44,4357
2022,November,Middle East,Model Y,21296,23581,57674,60,352,1124.43,4630
2018,May,Middle East,Cybertruck,7086,8012,90389,120,680,722.77,12636
2016,April,Middle East,Model Y,12146,12776,118293,120,698,1271.69,12869
2019,February,Middle East,Cybertruck,17194,18978,96294,75,413,1065.17,7419
2023,January,North America,Model 3,18636,20752,65890,82,460,1285.88,4937
2023,May,North America,Model Y,14130,16020,52155,75,440,932.58,12105
2020,February,Europe,Cybertruck,19298,21732,119779,100,571,1652.87,6843
2019,June,Middle East,Model S,6954,7148,63176,100,559,583.09,3684
2021,July,Europe,Model S,1889,1946,81631,120,707,200.33,10085
2019,July,Middle East,Cybertruck,13064,14557,115532,100,597,1169.88,5097
2023,December,Middle East,Cybertruck,8570,9786,60143,75,419,538.62,13352
2015,March,North America,Model Y,11364,12347,84476,75,419,714.23,11669
2020,January,Asia,Model S,16393,16411,86274,75,413,1015.55,9830
2015,September,Asia,Model Y,14196,15525,78659,120,693,1475.67,8233
2023,June,Asia,Model S,7800,7816,104026,82,486,568.62,10369
2018,May,Middle East,Model X,10524,11157,73666,120,667,1052.93,7700
2020,April,North America,Model 3,7971,8106,78446,82,470,561.96,9489
2015,October,Asia,Cybertruck,5675,6461,117974,120,716,609.49,8690
2015,September,Middle East,Model S,9613,10902,105990,75,428,617.15,3269
2017,September,Middle East,Model S,15315,16609,93723,120,711,1633.34,10043
2021,December,Asia,Cybertruck,10989,12120,108895,120,684,1127.47,12214
2024,November,Europe,Model X,6741,7454,97615,75,423,427.72,6963
2019,March,Asia,Model 3,7660,8197,92413,75,428,491.77,3325
2018,July,Middle East,Model X,6750,7014,98647,75,433,438.41,12554
2024,August,Middle East,Model 3,4293,4899,91216,100,565,363.83,8396
2022,March,Middle East,Cybertruck,10627,11394,93215,75,427,680.66,5380
2018,December,North America,Model 3,10972,12196,114345,100,571,939.75,7105
2021,July,Middle East,Model 3,8642,8738,85727,60,359,465.37,11318
2023,November,Europe,Model X,11323,12413,52155,120,703,1194.01,13865
2022,November,Europe,Cybertruck,8918,9081,64842,60,330,441.44,8207
2025,October,Asia,Model S,13514,14567,97726,60,343,695.3,5900
2016,July,Europe,Model X,14833,15941,55394,82,453,1007.9,7010
2018,February,Europe,Model Y,2728,2744,69040,60,330,135.04,14740
2017,December,Europe,Model X,12980,14796,68585,82,476,926.77,11141
2019,April,Middle East,Model 3,14637,15970,56200,120,700,1536.88,3769
2017,January,Middle East,Model S,2923,3251,72231,120,660,289.38,9133
2020,December,Europe,Cybertruck,2506,2586,96813,82,473,177.8,12994
2016,August,Asia,Model Y,6803,7012,111448,75,445,454.1,13446
2020,July,Middle East,Model Y,9358,9414,118903,120,683,958.73,4826
2015,September,Asia,Model S,12372,12396,55986,100,560,1039.25,3318
2016,September,North America,Model X,10096,11560,79243,100,599,907.13,11015
2018,August,Middle East,Cybertruck,13056,14836,75916,82,481,941.99,13763
2021,October,Asia,Model X,7975,8297,103789,82,487,582.57,5658
2021,October,North America,Model S,14764,15765,79707,100,557,1233.53,8116
2015,October,Europe,Model Y,12831,14369,98629,60,338,650.53,10082
2025,February,Middle East,Model X,8905,9306,95964,100,595,794.77,7807
2015,October,Middle East,Model 3,10384,10742,58440,120,664,1034.25,11355
2020,August,North America,Cybertruck,5817,6517,67288,60,356,310.63,13929
2018,November,Asia,Model 3,7160,7549,107680,60,336,360.86,8628
2021,September,Asia,Model Y,9140,10036,116935,100,550,754.05,5975
2025,January,Europe,Model Y,13291,14566,62105,100,584,1164.29,8126
2025,March,Middle East,Model 3,15264,16486,73694,120,699,1600.43,11612
2016,May,North America,Model 3,12231,12905,54772,100,551,1010.89,4621
2015,December,Middle East,Cybertruck,17203,17897,105829,100,565,1457.95,8462
2021,March,Europe,Model X,6517,6629,57489,75,439,429.14,13254
2016,December,North America,Model 3,8519,8888,113006,60,333,425.52,14471
2022,May,Middle East,Cybertruck,17889,19907,110473,75,436,1169.94,13275
2017,May,Asia,Model X,14239,14773,93741,60,347,741.14,12993
2019,August,Asia,Cybertruck,8619,8892,101522,75,424,548.17,9072
2022,December,Europe,Model X,13132,14123,50986,100,550,1083.39,5881
2024,August,Asia,Model S,15865,17167,66182,60,340,809.11,10368
2023,November,Asia,Cybertruck,8624,9706,67412,60,342,442.41,11015
2022,March,Middle East,Model S,18486,21086,110351,100,594,1647.1,8614
